dataset,comparison,scope,metric,n,a_mean,b_mean,delta,ci_lo,ci_hi,p,verdict,p_bh,verdict_bh
amazon,HMT-HM[1.5b],classic,ndcg@5,376,0.2984315574302167,0.35737874678992637,-0.058947189359709634,-0.09707442766067005,-0.021716606099542752,0.0028,hurts*,0.007,hurts*
amazon,HMT-HM[1.5b],classic,hr@5,376,0.4441489361702128,0.5957446808510638,-0.15159574468085107,-0.2127659574468085,-0.09042553191489362,0.0,hurts*,0.0,hurts*
amazon,HMT-HM[1.5b],cold_start_user,ndcg@5,140,0.328279416409569,0.35238254302522437,-0.02410312661565538,-0.0819439688323064,0.03554902964297716,0.4188,ns,0.47644444444444445,ns
amazon,HMT-HM[1.5b],cold_start_user,hr@5,140,0.4785714285714286,0.5714285714285714,-0.09285714285714286,-0.18571428571428572,0.0,0.0656,ns,0.09840000000000002,ns
amazon,HMT-HM[1.5b],cold_start_item,ndcg@5,148,0.31246398661577646,0.3657449741468993,-0.053280987531122904,-0.10761836556170376,0.0030648195173502103,0.0632,ns,0.11576470588235295,ns
amazon,HMT-HM[1.5b],cold_start_item,hr@5,148,0.46621621621621623,0.5878378378378378,-0.12162162162162163,-0.21621621621621623,-0.02702702702702703,0.0136,hurts*,0.023999999999999997,hurts*
amazon,HMT-HM[1.5b],evolving_interest,ndcg@5,131,0.30670922084589436,0.3639201406537012,-0.057210919807806876,-0.12508203933561085,0.007264676159795548,0.08,ns,0.13333333333333333,ns
amazon,HMT-HM[1.5b],evolving_interest,hr@5,131,0.46564885496183206,0.6412213740458015,-0.17557251908396945,-0.2900763358778626,-0.061068702290076333,0.002,hurts*,0.004615384615384615,hurts*
amazon,HMT-HM[1.5b],POOLED,ndcg@5,795,0.30766410294471475,0.35913428857348384,-0.05147018562876914,-0.07771466302574372,-0.025764650460344086,0.0,hurts*,0.0,hurts*
amazon,HMT-HM[1.5b],POOLED,hr@5,795,0.4578616352201258,0.5974842767295597,-0.13962264150943396,-0.18238993710691823,-0.09685534591194969,0.0,hurts*,0.0,hurts*
amazon,HMT-HM[3b],classic,ndcg@5,376,0.35311236372033805,0.3783516903651962,-0.025239326644858208,-0.059179670741609326,0.009590724030712018,0.1604,ns,0.24059999999999998,ns
amazon,HMT-HM[3b],classic,hr@5,376,0.4867021276595745,0.5292553191489362,-0.0425531914893617,-0.09042553191489362,0.005319148936170213,0.0944,ns,0.12872727272727272,ns
amazon,HMT-HM[3b],cold_start_user,ndcg@5,140,0.3565210446161309,0.3675741733916427,-0.011053128775511858,-0.06478189571354044,0.042394138983731684,0.6852,ns,0.6852,ns
