dataset,comparison,scope,metric,n,a_mean,b_mean,delta,ci_lo,ci_hi,p,verdict,p_bh,verdict_bh
amazon,HMT-HM[nr],classic,ndcg@5,376,0.3451126970700071,0.4111927551423033,-0.06608005807229629,-0.1105839804616083,-0.02051661344981556,0.0064,hurts*,0.012,hurts*
amazon,HMT-HM[nr],classic,hr@5,376,0.526595744680851,0.6037234042553191,-0.07712765957446809,-0.14095744680851063,-0.015957446808510637,0.0172,hurts*,0.03225,hurts*
amazon,HMT-HM[nr],cold_start_user,ndcg@5,140,0.3539310948365477,0.4074730307148019,-0.053541935878254204,-0.1245535915337968,0.017230704294206468,0.1496,ns,0.18700000000000003,ns
amazon,HMT-HM[nr],cold_start_user,hr@5,140,0.5428571428571428,0.6,-0.05714285714285714,-0.15,0.03571428571428571,0.2592,ns,0.324,ns
amazon,HMT-HM[nr],cold_start_item,ndcg@5,148,0.33153290446238076,0.4365951930122023,-0.10506228854982154,-0.18196989814571327,-0.028215788014288624,0.0092,hurts*,0.015333333333333334,hurts*
amazon,HMT-HM[nr],cold_start_item,hr@5,148,0.527027027027027,0.6621621621621622,-0.13513513513513514,-0.24324324324324326,-0.02702702702702703,0.0148,hurts*,0.031714285714285716,hurts*
amazon,HMT-HM[nr],evolving_interest,ndcg@5,131,0.3451624467851876,0.48571908893604915,-0.14055664215086153,-0.215219151704101,-0.06323214755613098,0.0,hurts*,0.0,hurts*
amazon,HMT-HM[nr],evolving_interest,hr@5,131,0.5190839694656488,0.6946564885496184,-0.17557251908396945,-0.2824427480916031,-0.06870229007633588,0.0004,hurts*,0.0012000000000000001,hurts*
amazon,HMT-HM[nr],POOLED,ndcg@5,795,0.3441457581946305,0.427547156540889,-0.08340139834625843,-0.11544291640955312,-0.05138656768421057,0.0,hurts*,0.0,hurts*
amazon,HMT-HM[nr],POOLED,hr@5,795,0.5283018867924528,0.6289308176100629,-0.10062893081761007,-0.1421383647798742,-0.05786163522012579,0.0,hurts*,0.0,hurts*
goodreads,HMT-HM[nr],classic,ndcg@5,400,0.3393332792583874,0.4423460441982616,-0.10301276493987417,-0.14393415462620082,-0.06325482285969349,0.0,hurts*,0.0,hurts*
goodreads,HMT-HM[nr],classic,hr@5,400,0.5575,0.6925,-0.135,-0.1925,-0.075,0.0,hurts*,0.0,hurts*
goodreads,HMT-HM[nr],cold_start_user,ndcg@5,239,0.32685030601484955,0.4548178471363578,-0.12796754112150832,-0.18248890819387997,-0.07147394480429256,0.0,hurts*,0.0,hurts*
goodreads,HMT-HM[nr],cold_start_user,hr@5,239,0.5481171548117155,0.7071129707112971,-0.1589958158995816,-0.2384937238493724,-0.07531380753138076,0.0,hurts*,0.0,hurts*
goodreads,HMT-HM[nr],cold_start_item,ndcg@5,225,0.305207928325904,0.4170879266692013,-0.11187999834329722,-0.17135500037176146,-0.053703958746654054,0.0008,hurts*,0.002,hurts*
goodreads,HMT-HM[nr],cold_start_item,hr@5,225,0.5288888888888889,0.6444444444444445,-0.11555555555555555,-0.19555555555555557,-0.03111111111111111,0.0092,hurts*,0.023000000000000003,hurts*
goodreads,HMT-HM[nr],evolving_interest,ndcg@5,91,0.367155371096955,0.39423141702087144,-0.02707604592391647,-0.11766627577883536,0.061357216321894135,0.5476,ns,0.5476,ns
goodreads,HMT-HM[nr],evolving_interest,hr@5,91,0.5934065934065934,0.6373626373626373,-0.04395604395604396,-0.17582417582417584,0.07692307692307693,0.534,ns,0.5721428571428572,ns
goodreads,HMT-HM[nr],POOLED,ndcg@5,955,0.3308203743288537,0.43493164983703003,-0.10411127550817638,-0.13177551969140874,-0.07743715788515008,0.0,hurts*,0.0,hurts*
goodreads,HMT-HM[nr],POOLED,hr@5,955,0.5518324607329843,0.6795811518324607,-0.12774869109947645,-0.16753926701570682,-0.08795811518324607,0.0,hurts*,0.0,hurts*
yelp,HMT-HM[nr],classic,ndcg@5,369,0.3755333360823045,0.40734065854880386,-0.03180732246649941,-0.07453247077778598,0.012230830416162948,0.1492,ns,0.18700000000000003,ns
yelp,HMT-HM[nr],classic,hr@5,369,0.5663956639566395,0.5826558265582655,-0.016260162601626018,-0.07046070460704607,0.037940379403794036,0.6208,ns,0.6208000000000001,ns
yelp,HMT-HM[nr],cold_start_user,ndcg@5,272,0.37966537787263516,0.416086123624385,-0.03642074575174986,-0.08781309497891011,0.014692701801559648,0.1672,ns,0.19292307692307692,ns
yelp,HMT-HM[nr],cold_start_user,hr@5,272,0.5661764705882353,0.5919117647058824,-0.025735294117647058,-0.09191176470588236,0.04044117647058824,0.4912,ns,0.5667692307692308,ns
yelp,HMT-HM[nr],cold_start_item,ndcg@5,125,0.36455933211779684,0.45132214197493853,-0.0867628098571417,-0.15853684769328144,-0.015098406250888454,0.0192,hurts*,0.0288,hurts*
yelp,HMT-HM[nr],cold_start_item,hr@5,125,0.576,0.672,-0.096,-0.19219999999999993,0.0,0.0656,ns,0.09840000000000002,ns
yelp,HMT-HM[nr],evolving_interest,ndcg@5,93,0.3592595639243111,0.40100927526895735,-0.041749711344646244,-0.1395730533915937,0.05666540301429488,0.3904,ns,0.4182857142857143,ns
yelp,HMT-HM[nr],evolving_interest,hr@5,93,0.4946236559139785,0.5698924731182796,-0.07526881720430108,-0.1827956989247312,0.0325268817204262,0.2328,ns,0.31745454545454543,ns
yelp,HMT-HM[nr],POOLED,ndcg@5,859,0.3734829333590368,0.4158245156894316,-0.04234158233039472,-0.07050432069803247,-0.013004255918447559,0.004,hurts*,0.008571428571428572,hurts*
yelp,HMT-HM[nr],POOLED,hr@5,859,0.559953434225844,0.5972060535506403,-0.037252619324796274,-0.07566938300349244,0.0,0.0572,ns,0.09533333333333333,ns
